Age,Gender,Education_Level,Current_Field,Mathematical_Skills,Communication_Skills,Coding_Knowledge,Creativity_Level,Analytical_Thinking,Leadership_Skills,Problem_Solving_Skills,Research_Writing_Skills,Technical_Experience,Interest_Area,Work_Preference,Work_Environment,Self_Employment_Interest,Entrepreneurial_Mindset,Internship_Experience,Freelance_Experience,Job_Experience_Years,Certifications_Completed,Extracurricular_Activities,Risk_Taking_Ability,Teamwork_Individual_Pref,Stress_Handling_Ability,Adaptability_to_New_Tech,Best_Suited_Profession
36,Male,PhD,Business,6,7,Yes,4,5,2,6,4,8,Social Work,On-Site,Freelance,Yes,3,2,No,2,8,Yes,4,Teamwork,2,3,Business Analyst
47,Other,Diploma,Arts,8,8,No,6,1,3,7,10,5,Science,On-Site,Freelance,No,7,3,No,16,4,Yes,10,Individual,7,4,Lawyer
23,Female,Diploma,Science,2,4,Yes,3,2,5,7,2,9,Sports,Hybrid,Research Lab,No,7,1,Yes,13,9,Yes,10,Balanced,4,9,Entrepreneur
19,Other,Master’s,Engineering,8,6,Yes,3,9,3,2,3,7,Medicine,Hybrid,Corporate,No,6,1,Yes,17,3,No,6,Teamwork,10,6,Lawyer
29,Other,Diploma,Medicine,3,2,No,1,7,4,1,3,4,Engineering,Hybrid,Freelance,No,2,0,Yes,13,0,No,3,Individual,5,2,Artist
36,Male,Diploma,Science,1,7,No,9,3,7,10,7,5,Business,Remote,Government,No,3,0,No,0,3,No,2,Teamwork,1,7,Entrepreneur
22,Male,High School,Science,7,9,Yes,7,1,3,6,6,3,Science,Hybrid,Corporate,No,7,5,No,10,10,No,3,Teamwork,2,9,Software Engineer
29,Other,Bachelor's,Business,1,5,Yes,9,2,1,7,5,5,Social Work,On-Site,Startup,No,10,4,Yes,9,10,No,5,Balanced,8,8,Mechanical Engineer
44,Female,PhD,Business,1,4,Yes,1,7,1,2,9,10,Medicine,Hybrid,Freelance,No,8,0,No,7,4,Yes,9,Individual,9,5,Artist
44,Female,Diploma,Medicine,1,2,No,8,8,4,2,4,4,Engineering,On-Site,Government,No,7,1,No,13,3,No,10,Individual,5,6,Doctor
34,Male,PhD,Engineering,4,7,Yes,2,5,1,9,10,3,Science,Hybrid,Government,No,8,0,No,5,0,No,5,Teamwork,5,7,Artist
46,Male,Diploma,Science,4,2,Yes,3,4,6,5,3,8,Science,On-Site,Government,Yes,3,5,No,0,9,Yes,10,Balanced,9,8,Artist
34,Male,Diploma,Sports,10,2,No,1,10,4,7,7,4,Science,On-Site,Startup,No,7,5,Yes,18,0,No,4,Individual,3,9,Artist
27,Male,Master’s,Business,6,9,Yes,7,4,5,1,7,10,Medicine,Remote,Research Lab,Yes,6,3,Yes,7,7,No,9,Teamwork,8,3,Research Scientist
42,Male,High School,Science,10,2,No,5,5,6,4,2,4,Engineering,Remote,Startup,No,3,2,No,0,1,Yes,10,Balanced,9,8,Artist
40,Male,Bachelor's,Engineering,3,10,No,3,7,2,2,9,8,Medicine,On-Site,Government,Yes,3,2,Yes,2,8,Yes,6,Individual,7,9,Artist
34,Male,Bachelor's,Arts,10,3,Yes,4,7,1,5,8,5,Engineering,On-Site,Corporate,No,4,4,No,8,4,No,8,Teamwork,8,2,Data Scientist
32,Female,Master’s,Engineering,6,3,No,10,4,10,1,1,5,Business,On-Site,Government,Yes,1,4,No,12,5,No,6,Individual,10,6,Data Scientist
29,Male,Master’s,Science,7,2,Yes,6,1,2,10,2,5,Science,Hybrid,Startup,Yes,6,4,No,5,4,Yes,4,Individual,6,8,Mechanical Engineer
47,Male,Bachelor's,Science,1,10,Yes,6,5,6,7,2,6,Medicine,Hybrid,Startup,No,10,2,No,3,10,Yes,1,Teamwork,4,8,Entrepreneur
33,Female,Bachelor's,Medicine,6,3,No,2,7,10,2,8,5,Business,Hybrid,Startup,No,4,3,Yes,5,0,No,8,Individual,4,5,Doctor
41,Female,High School,Science,10,9,No,7,4,9,3,3,1,Arts,On-Site,Startup,Yes,10,1,Yes,4,6,No,3,Balanced,2,10,Lawyer
36,Other,Diploma,Business,1,3,No,2,7,8,5,7,1,Social Work,On-Site,Government,Yes,10,3,Yes,5,9,No,3,Individual,1,8,Doctor
25,Male,High School,Sports,7,5,Yes,9,8,10,9,10,6,Business,Hybrid,Startup,No,2,1,No,14,1,Yes,1,Balanced,9,8,Entrepreneur
48,Male,Bachelor's,Medicine,10,7,Yes,2,2,1,10,6,2,Sports,Remote,Startup,Yes,9,0,No,3,9,Yes,4,Balanced,10,9,Doctor
38,Male,Diploma,Science,5,1,No,5,2,5,4,2,3,Medicine,Remote,Government,No,5,2,Yes,0,10,No,7,Individual,6,2,Doctor
34,Male,Bachelor's,Engineering,10,1,Yes,8,5,7,8,9,6,Arts,Remote,Freelance,No,4,5,No,6,10,No,7,Balanced,7,9,Research Scientist
40,Other,High School,Science,4,10,No,8,3,8,8,9,2,Technology,Remote,Government,Yes,4,2,Yes,18,6,Yes,1,Teamwork,3,1,Entrepreneur
22,Female,High School,Engineering,1,2,Yes,4,4,7,10,7,6,Sports,Remote,Corporate,No,4,4,No,1,5,Yes,4,Balanced,5,10,Digital Marketer
39,Female,High School,Engineering,9,1,Yes,7,1,1,4,4,6,Medicine,Remote,Research Lab,No,5,2,No,1,0,Yes,5,Teamwork,6,3,Software Engineer
33,Male,Diploma,Science,7,1,Yes,8,4,4,4,1,2,Business,Remote,Freelance,No,3,0,No,15,1,No,3,Balanced,10,8,Artist
23,Male,PhD,Engineering,2,10,Yes,8,4,4,2,8,10,Arts,Remote,Corporate,No,7,3,Yes,20,6,No,10,Individual,5,7,Doctor
25,Male,PhD,Sports,4,4,No,5,4,9,8,9,2,Science,Hybrid,Government,Yes,6,0,Yes,18,4,No,6,Balanced,3,4,Mechanical Engineer
42,Other,Bachelor's,Arts,4,10,Yes,10,3,6,1,8,7,Business,On-Site,Freelance,Yes,1,3,Yes,3,4,No,6,Individual,8,7,Digital Marketer
35,Other,Diploma,Medicine,8,3,No,2,2,6,5,2,9,Medicine,Hybrid,Corporate,No,4,4,Yes,2,2,Yes,4,Balanced,4,9,Software Engineer
42,Female,Master’s,Science,2,1,Yes,2,4,5,8,7,1,Business,On-Site,Government,No,5,3,Yes,4,8,No,9,Balanced,8,8,Doctor
29,Male,PhD,Arts,5,3,Yes,5,8,5,6,10,8,Sports,On-Site,Corporate,No,3,3,Yes,3,4,Yes,8,Teamwork,7,3,Research Scientist
32,Male,Diploma,Engineering,10,1,No,4,3,9,10,1,4,Science,On-Site,Startup,No,1,3,No,4,0,No,5,Teamwork,4,8,Mechanical Engineer
44,Male,Diploma,Engineering,8,3,Yes,4,6,2,4,5,6,Technology,Remote,Startup,No,4,4,No,20,10,Yes,1,Balanced,7,4,Digital Marketer
43,Male,PhD,Medicine,6,4,No,3,2,10,9,8,3,Business,On-Site,Research Lab,Yes,6,5,Yes,20,1,No,4,Individual,3,1,Research Scientist
26,Other,Diploma,Arts,4,8,Yes,9,1,5,3,9,10,Medicine,Hybrid,Corporate,Yes,5,2,No,12,4,No,8,Teamwork,2,3,Artist
30,Female,Diploma,Arts,5,3,Yes,8,7,1,9,10,1,Arts,On-Site,Government,No,7,2,No,16,1,Yes,4,Teamwork,8,3,Data Scientist
43,Female,PhD,Science,2,3,Yes,4,6,5,1,3,1,Technology,Hybrid,Corporate,No,10,5,No,11,7,Yes,4,Balanced,5,4,Data Scientist
32,Other,High School,Engineering,5,9,No,7,10,4,4,8,5,Technology,Hybrid,Corporate,Yes,4,2,No,5,8,No,8,Individual,7,2,Research Scientist
49,Male,Bachelor's,Business,3,9,Yes,8,4,4,10,3,4,Science,Hybrid,Startup,Yes,2,5,No,13,4,No,4,Teamwork,9,1,Entrepreneur
27,Female,Master’s,Science,3,6,No,6,7,4,3,8,8,Technology,Remote,Government,Yes,9,1,No,5,7,Yes,8,Balanced,1,2,Lawyer
33,Female,Bachelor's,Science,7,10,Yes,2,6,3,2,5,3,Social Work,Remote,Government,Yes,6,1,No,6,4,No,3,Individual,9,8,Software Engineer
24,Other,High School,Science,3,4,No,8,2,6,4,7,3,Technology,Remote,Government,Yes,5,1,Yes,7,3,Yes,4,Individual,9,2,Entrepreneur
34,Male,High School,Medicine,4,10,No,3,4,3,4,6,2,Technology,Hybrid,Corporate,Yes,1,0,Yes,19,7,Yes,1,Individual,6,1,Mechanical Engineer
40,Female,Diploma,Medicine,7,5,No,4,9,6,9,5,9,Engineering,Hybrid,Research Lab,No,5,2,Yes,8,2,Yes,6,Teamwork,6,10,Software Engineer
43,Male,Bachelor's,Science,3,9,No,4,8,6,10,2,5,Medicine,Hybrid,Freelance,No,8,3,No,17,7,No,9,Balanced,9,9,Research Scientist
38,Female,High School,Sports,10,1,Yes,7,6,10,6,9,9,Technology,Hybrid,Freelance,Yes,10,4,Yes,12,2,No,1,Teamwork,8,3,Artist
39,Other,Bachelor's,Business,10,7,No,8,1,2,6,7,7,Social Work,Hybrid,Freelance,Yes,3,4,No,15,1,Yes,6,Individual,1,3,Entrepreneur
43,Male,High School,Arts,2,7,No,9,7,9,6,7,8,Engineering,Hybrid,Startup,No,5,1,Yes,16,1,Yes,8,Teamwork,2,4,Business Analyst
24,Other,Master’s,Arts,10,10,Yes,1,1,10,6,5,7,Engineering,Hybrid,Freelance,No,3,0,No,12,1,Yes,5,Individual,8,6,Mechanical Engineer
31,Female,High School,Engineering,7,1,No,1,8,8,8,3,5,Business,Remote,Freelance,No,10,1,Yes,3,2,No,6,Teamwork,6,6,Doctor
32,Other,Bachelor's,Arts,5,1,Yes,7,3,7,4,9,2,Technology,On-Site,Corporate,No,8,1,No,19,1,Yes,8,Balanced,4,5,Artist
38,Other,Diploma,Arts,1,9,Yes,4,9,9,1,10,8,Sports,Hybrid,Government,Yes,6,3,No,11,5,No,2,Balanced,3,6,Artist
24,Other,Bachelor's,Business,10,7,Yes,10,5,8,3,8,5,Science,Remote,Government,No,10,5,Yes,20,7,No,10,Individual,9,10,Digital Marketer
26,Female,PhD,Arts,8,4,Yes,8,6,9,8,6,8,Technology,Remote,Corporate,Yes,7,5,Yes,5,8,No,4,Teamwork,2,9,Lawyer
36,Male,Bachelor's,Business,3,9,No,5,4,8,1,2,5,Business,Hybrid,Research Lab,Yes,3,2,Yes,4,5,Yes,9,Balanced,8,4,Research Scientist
33,Other,Master’s,Medicine,7,5,Yes,1,6,3,5,7,1,Social Work,Remote,Corporate,Yes,3,1,No,20,9,Yes,6,Individual,10,8,Doctor
25,Male,Master’s,Business,6,3,No,2,9,10,2,5,10,Science,Hybrid,Research Lab,No,4,5,No,20,9,No,1,Teamwork,7,6,Lawyer
35,Female,Master’s,Medicine,10,2,Yes,10,7,1,10,8,9,Medicine,On-Site,Government,Yes,9,4,No,2,5,Yes,9,Individual,9,4,Mechanical Engineer
44,Male,High School,Business,6,9,No,3,2,6,4,6,5,Social Work,Remote,Startup,No,7,2,Yes,0,3,Yes,9,Balanced,1,9,Research Scientist
40,Other,Master’s,Science,8,4,Yes,2,6,3,3,10,2,Science,Remote,Corporate,Yes,4,0,No,5,1,Yes,5,Teamwork,5,5,Digital Marketer
46,Other,Bachelor's,Sports,4,7,No,9,9,3,1,9,4,Business,On-Site,Startup,Yes,10,2,Yes,16,5,No,3,Balanced,10,5,Lawyer
35,Other,Diploma,Medicine,4,1,Yes,7,8,6,5,8,1,Science,On-Site,Corporate,Yes,3,0,Yes,4,0,Yes,9,Balanced,3,2,Artist
48,Other,Master’s,Medicine,3,9,No,2,1,10,9,7,4,Arts,On-Site,Freelance,Yes,8,1,Yes,20,9,Yes,9,Teamwork,4,3,Software Engineer
47,Other,Bachelor's,Arts,1,9,No,7,5,9,3,1,5,Business,Remote,Government,Yes,10,5,No,2,6,No,6,Individual,3,4,Digital Marketer
37,Other,High School,Medicine,10,10,No,10,6,5,1,10,2,Science,On-Site,Research Lab,Yes,4,1,No,11,2,Yes,1,Balanced,10,5,Lawyer
24,Female,High School,Business,3,6,Yes,1,9,1,1,9,6,Technology,Hybrid,Government,Yes,7,2,No,14,7,Yes,1,Teamwork,5,8,Data Scientist
20,Female,Diploma,Science,1,6,No,5,4,10,1,8,4,Sports,Hybrid,Government,Yes,3,0,Yes,19,8,No,2,Individual,7,10,Doctor
35,Female,Diploma,Science,6,6,No,5,1,7,4,1,5,Science,Remote,Freelance,Yes,8,5,Yes,10,2,No,10,Individual,5,5,Mechanical Engineer
44,Male,Bachelor's,Arts,8,5,No,9,6,9,5,1,10,Technology,Hybrid,Corporate,Yes,2,1,No,12,9,No,4,Balanced,3,3,Doctor
27,Male,Diploma,Business,3,1,Yes,4,9,10,8,3,10,Social Work,On-Site,Corporate,No,4,2,No,12,6,No,4,Teamwork,1,9,Entrepreneur
24,Female,Diploma,Business,4,4,Yes,4,6,2,10,3,5,Engineering,Hybrid,Research Lab,No,6,0,Yes,9,2,Yes,1,Teamwork,7,2,Research Scientist
34,Male,High School,Engineering,5,10,No,6,7,9,7,2,4,Arts,On-Site,Freelance,No,6,3,Yes,13,2,No,10,Teamwork,1,9,Lawyer
31,Male,Bachelor's,Medicine,7,1,No,2,10,5,10,8,1,Medicine,Remote,Startup,No,4,5,Yes,14,3,Yes,3,Balanced,4,3,Mechanical Engineer
48,Other,Diploma,Arts,6,5,No,10,4,1,4,5,5,Business,On-Site,Research Lab,No,5,5,No,7,4,No,10,Individual,1,6,Lawyer
41,Other,Bachelor's,Science,2,4,No,6,2,4,2,1,4,Medicine,Hybrid,Startup,No,6,1,Yes,13,6,No,10,Balanced,3,7,Lawyer
20,Male,Master’s,Sports,7,8,No,7,3,8,2,1,6,Science,On-Site,Startup,Yes,9,4,Yes,15,10,No,9,Teamwork,3,5,Lawyer
29,Male,High School,Engineering,8,1,Yes,4,1,3,2,2,7,Engineering,Remote,Freelance,Yes,8,4,Yes,8,7,Yes,4,Balanced,7,10,Artist
45,Female,High School,Business,1,8,Yes,10,2,5,1,7,4,Engineering,On-Site,Corporate,Yes,5,1,Yes,12,7,Yes,1,Individual,3,9,Lawyer
30,Male,High School,Medicine,6,8,Yes,9,7,2,6,9,3,Arts,Hybrid,Government,No,7,2,No,8,1,Yes,4,Balanced,8,7,Doctor
19,Other,PhD,Science,9,1,Yes,5,9,5,4,9,1,Sports,Remote,Startup,No,2,2,No,18,7,No,9,Individual,2,5,Digital Marketer
20,Male,Bachelor's,Engineering,7,9,Yes,3,9,9,3,9,2,Science,Hybrid,Government,No,10,5,Yes,18,10,No,8,Balanced,7,4,Business Analyst
22,Female,Master’s,Business,5,9,Yes,9,9,3,1,10,1,Arts,Hybrid,Corporate,No,1,3,No,11,8,Yes,1,Balanced,6,8,Doctor
28,Other,Diploma,Science,10,6,No,1,1,7,7,6,9,Medicine,Hybrid,Government,Yes,9,3,No,9,6,No,5,Individual,2,5,Digital Marketer
25,Other,Master’s,Science,10,1,Yes,8,7,6,9,5,4,Engineering,On-Site,Startup,No,10,4,No,12,9,Yes,1,Individual,4,3,Data Scientist
43,Other,Bachelor's,Business,9,7,No,1,7,2,4,10,7,Arts,Hybrid,Freelance,Yes,1,2,Yes,3,7,Yes,9,Individual,9,9,Data Scientist
40,Other,High School,Business,2,7,Yes,10,9,7,1,10,6,Science,Remote,Freelance,No,2,4,Yes,0,10,No,7,Balanced,8,7,Business Analyst
40,Male,PhD,Arts,7,9,No,8,9,10,3,8,1,Arts,Remote,Research Lab,Yes,3,5,No,14,0,No,4,Teamwork,2,3,Research Scientist
29,Female,Bachelor's,Science,9,1,No,5,1,4,9,6,2,Technology,Hybrid,Startup,No,8,5,Yes,1,2,No,2,Teamwork,8,10,Software Engineer
24,Male,Bachelor's,Business,2,8,No,7,10,6,1,8,4,Engineering,On-Site,Research Lab,Yes,6,4,Yes,7,1,No,3,Teamwork,3,6,Lawyer
32,Male,Diploma,Sports,10,8,No,8,5,7,1,1,6,Engineering,On-Site,Government,No,6,2,Yes,0,6,No,6,Teamwork,3,6,Artist
41,Other,Master’s,Sports,6,7,Yes,1,2,9,5,4,5,Technology,Remote,Research Lab,Yes,7,4,Yes,17,7,Yes,9,Balanced,3,6,Mechanical Engineer
34,Female,Master’s,Engineering,9,6,Yes,1,6,7,5,10,3,Arts,On-Site,Corporate,No,9,2,No,12,1,Yes,3,Individual,5,8,Data Scientist
21,Other,Diploma,Medicine,3,1,No,7,2,3,8,5,9,Arts,Remote,Corporate,No,4,5,Yes,16,1,No,10,Balanced,7,10,Business Analyst
46,Male,PhD,Sports,8,10,No,1,6,9,1,4,7,Social Work,Hybrid,Freelance,Yes,8,1,No,6,5,No,6,Balanced,4,10,Lawyer
39,Male,High School,Arts,5,8,No,4,7,6,8,6,6,Arts,Hybrid,Research Lab,No,4,0,Yes,14,5,Yes,2,Balanced,1,5,Data Scientist
42,Other,High School,Business,7,5,No,6,6,4,2,7,5,Sports,On-Site,Startup,Yes,4,5,Yes,8,5,Yes,3,Balanced,7,4,Lawyer
30,Male,PhD,Medicine,3,4,Yes,2,1,10,1,8,8,Social Work,Remote,Freelance,Yes,7,2,Yes,16,5,No,10,Individual,5,3,Doctor
35,Male,Diploma,Arts,8,5,Yes,10,4,5,8,8,8,Arts,Remote,Government,Yes,4,1,No,12,7,No,3,Teamwork,8,4,Software Engineer
18,Other,Bachelor's,Science,2,5,No,5,3,10,10,5,10,Arts,Remote,Government,Yes,7,5,No,14,1,Yes,2,Balanced,5,2,Data Scientist
33,Male,Master’s,Medicine,8,10,No,10,5,1,2,8,10,Sports,Remote,Freelance,No,4,1,Yes,20,3,No,7,Individual,3,4,Doctor
30,Female,Bachelor's,Sports,2,3,No,10,7,4,5,3,10,Technology,On-Site,Corporate,Yes,7,5,Yes,7,2,Yes,8,Individual,3,2,Mechanical Engineer
27,Other,Master’s,Arts,7,4,No,10,3,3,10,3,10,Business,Remote,Corporate,No,6,1,Yes,20,1,No,3,Individual,8,7,Doctor
29,Female,Bachelor's,Business,2,4,No,6,1,6,6,1,5,Medicine,Remote,Government,No,7,5,No,6,10,Yes,5,Teamwork,9,2,Digital Marketer
47,Male,Diploma,Business,7,8,No,5,9,9,3,10,1,Technology,Remote,Corporate,Yes,1,5,No,15,4,Yes,5,Balanced,1,10,Doctor
19,Male,Diploma,Arts,1,5,Yes,10,6,3,9,1,3,Arts,Remote,Government,Yes,8,3,No,12,6,Yes,7,Balanced,8,3,Digital Marketer
40,Other,PhD,Science,6,6,No,8,6,5,9,1,4,Business,Hybrid,Corporate,Yes,1,4,Yes,12,4,Yes,2,Teamwork,9,2,Digital Marketer
20,Male,Bachelor's,Sports,10,10,No,4,4,2,8,10,1,Social Work,Hybrid,Government,Yes,4,5,No,14,3,No,9,Individual,4,5,Research Scientist
27,Other,Bachelor's,Arts,7,2,No,8,1,9,7,3,1,Business,Remote,Government,Yes,9,1,No,17,9,No,8,Individual,9,9,Research Scientist
19,Other,PhD,Engineering,4,9,No,3,9,8,5,8,4,Engineering,Hybrid,Government,Yes,10,5,Yes,13,5,No,6,Teamwork,2,6,Software Engineer
47,Other,PhD,Arts,1,8,No,7,10,10,10,9,4,Engineering,On-Site,Corporate,Yes,6,5,No,16,5,Yes,5,Teamwork,6,9,Software Engineer
44,Other,Diploma,Arts,6,8,No,5,7,4,2,3,7,Medicine,Remote,Startup,Yes,3,3,No,14,10,Yes,8,Teamwork,8,8,Digital Marketer
40,Other,Diploma,Sports,4,10,No,5,10,8,3,8,6,Science,On-Site,Government,No,1,3,Yes,10,2,Yes,2,Individual,8,2,Entrepreneur
30,Female,Bachelor's,Business,3,5,Yes,6,7,10,5,10,1,Engineering,On-Site,Corporate,Yes,6,5,No,20,5,Yes,6,Balanced,4,1,Research Scientist
30,Other,Diploma,Science,4,5,No,5,7,4,8,1,1,Science,Hybrid,Startup,Yes,1,4,No,16,7,Yes,5,Individual,6,3,Software Engineer
35,Female,Diploma,Arts,6,3,Yes,1,7,2,1,3,6,Engineering,Hybrid,Government,Yes,3,1,Yes,12,4,Yes,7,Balanced,7,7,Digital Marketer
49,Male,Bachelor's,Medicine,5,2,No,9,8,9,1,1,7,Science,Hybrid,Startup,No,8,0,No,3,4,Yes,6,Teamwork,3,10,Software Engineer
49,Other,PhD,Business,2,9,Yes,4,8,2,7,10,2,Science,Remote,Research Lab,Yes,5,5,No,2,10,No,5,Teamwork,8,7,Business Analyst
20,Male,Bachelor's,Business,2,6,Yes,5,3,1,1,9,3,Technology,On-Site,Government,No,4,2,Yes,13,5,No,4,Teamwork,3,9,Digital Marketer
44,Other,High School,Arts,3,8,Yes,1,8,1,3,3,2,Social Work,On-Site,Government,Yes,10,0,No,6,3,Yes,3,Individual,2,9,Data Scientist
24,Female,Bachelor's,Sports,6,4,Yes,3,4,3,8,10,6,Sports,Hybrid,Corporate,Yes,3,1,No,19,2,No,8,Individual,7,9,Software Engineer
31,Female,High School,Medicine,1,5,No,3,7,10,9,10,1,Technology,Hybrid,Research Lab,Yes,10,5,No,11,1,Yes,2,Teamwork,2,2,Entrepreneur
37,Female,Bachelor's,Arts,7,10,Yes,8,5,7,5,5,7,Arts,Remote,Corporate,Yes,10,2,No,8,7,No,5,Individual,5,1,Artist
46,Male,High School,Medicine,8,5,No,8,4,6,6,10,10,Business,Remote,Freelance,Yes,10,2,Yes,14,3,No,3,Balanced,10,6,Artist
47,Other,High School,Business,7,10,No,9,4,3,8,10,2,Technology,Hybrid,Research Lab,Yes,6,5,No,20,9,No,1,Teamwork,8,10,Data Scientist
34,Male,Bachelor's,Medicine,3,4,No,10,6,5,3,7,5,Sports,Hybrid,Government,No,4,2,No,14,10,No,7,Balanced,4,6,Digital Marketer
46,Female,Diploma,Arts,6,2,No,7,2,10,1,9,1,Engineering,Hybrid,Government,No,7,3,Yes,1,2,No,6,Teamwork,8,9,Entrepreneur
47,Male,Master’s,Engineering,4,6,Yes,6,5,6,9,7,10,Social Work,On-Site,Government,Yes,8,3,No,20,4,No,6,Teamwork,4,1,Research Scientist
38,Female,Diploma,Engineering,5,4,No,8,8,10,2,1,10,Sports,Remote,Research Lab,Yes,8,5,No,18,8,No,9,Individual,1,5,Lawyer
29,Female,High School,Medicine,3,4,Yes,3,2,2,9,7,7,Technology,On-Site,Government,Yes,6,0,Yes,8,3,Yes,3,Individual,2,10,Research Scientist
42,Female,Bachelor's,Sports,5,10,Yes,10,5,3,2,7,5,Medicine,Hybrid,Freelance,No,5,4,Yes,2,3,No,9,Individual,1,3,Mechanical Engineer
33,Other,Bachelor's,Arts,6,3,No,10,7,4,8,2,5,Technology,Remote,Startup,Yes,7,4,No,15,3,No,5,Teamwork,8,2,Research Scientist
41,Other,Bachelor's,Science,8,8,No,10,5,8,3,7,8,Science,Hybrid,Research Lab,No,9,3,No,12,3,No,5,Individual,4,10,Entrepreneur
29,Female,Bachelor's,Engineering,6,6,Yes,8,10,1,9,2,8,Technology,On-Site,Startup,No,10,0,Yes,18,6,No,6,Teamwork,9,5,Data Scientist
32,Male,Master’s,Business,9,9,Yes,3,9,9,10,1,8,Science,Remote,Corporate,Yes,8,2,Yes,13,2,No,10,Teamwork,6,9,Business Analyst
42,Male,PhD,Arts,10,5,Yes,2,9,1,4,9,3,Engineering,Remote,Corporate,Yes,5,1,Yes,9,8,Yes,3,Individual,7,2,Data Scientist
27,Other,High School,Arts,10,6,No,9,8,3,8,10,8,Engineering,Hybrid,Research Lab,Yes,3,1,No,9,1,No,3,Balanced,2,5,Entrepreneur
47,Female,Master’s,Engineering,10,9,Yes,1,9,3,4,10,5,Technology,Hybrid,Government,Yes,7,4,Yes,4,10,Yes,6,Balanced,3,1,Digital Marketer
42,Male,Diploma,Science,10,4,No,10,2,9,3,5,1,Arts,On-Site,Corporate,Yes,7,5,Yes,3,2,No,5,Teamwork,6,10,Research Scientist
48,Female,PhD,Business,4,10,Yes,10,3,3,1,7,4,Arts,On-Site,Corporate,Yes,8,5,No,0,2,No,7,Balanced,6,9,Doctor
24,Male,PhD,Science,2,7,Yes,2,4,3,4,10,5,Sports,On-Site,Freelance,Yes,10,2,No,15,9,No,10,Individual,2,8,Mechanical Engineer
37,Other,Bachelor's,Business,9,10,No,7,5,2,2,6,8,Engineering,Remote,Corporate,No,6,5,No,12,5,Yes,4,Balanced,7,1,Artist
22,Female,Master’s,Engineering,3,10,Yes,1,10,4,9,8,10,Social Work,Hybrid,Corporate,Yes,7,4,Yes,6,4,Yes,1,Teamwork,4,2,Research Scientist
18,Female,Diploma,Arts,7,6,No,5,2,8,2,10,2,Medicine,Remote,Corporate,No,2,0,Yes,12,0,Yes,3,Teamwork,6,7,Data Scientist
47,Male,Bachelor's,Business,4,6,Yes,9,10,6,8,3,6,Business,Remote,Government,Yes,10,4,Yes,20,4,No,1,Individual,2,1,Artist
34,Male,Bachelor's,Arts,1,6,No,9,4,1,10,4,4,Sports,Remote,Corporate,No,2,1,Yes,20,9,Yes,5,Teamwork,8,8,Data Scientist
20,Male,High School,Medicine,8,4,No,4,4,5,10,2,3,Medicine,Remote,Research Lab,No,6,0,No,20,7,No,6,Balanced,8,10,Research Scientist
30,Female,PhD,Medicine,4,10,No,10,5,10,7,5,9,Technology,On-Site,Government,No,1,0,Yes,13,10,Yes,2,Teamwork,6,2,Research Scientist
31,Other,Diploma,Engineering,6,6,Yes,2,6,8,6,10,5,Engineering,On-Site,Freelance,Yes,7,1,Yes,1,1,Yes,8,Balanced,3,1,Business Analyst
41,Other,PhD,Engineering,7,7,No,9,1,1,4,1,2,Technology,Hybrid,Corporate,No,6,5,No,6,1,No,6,Balanced,6,4,Lawyer
47,Male,Master’s,Sports,8,2,No,4,6,6,3,5,3,Technology,Hybrid,Government,No,3,4,No,8,5,No,2,Balanced,5,3,Data Scientist
35,Other,High School,Engineering,10,9,Yes,3,9,7,10,8,9,Engineering,Hybrid,Government,Yes,8,0,No,14,9,No,10,Balanced,2,2,Research Scientist
21,Male,Bachelor's,Medicine,2,7,No,3,3,5,5,6,8,Technology,On-Site,Corporate,Yes,1,5,No,0,0,Yes,2,Balanced,5,9,Business Analyst
35,Other,High School,Business,9,3,No,7,2,4,2,10,6,Engineering,Remote,Freelance,No,4,4,Yes,2,9,Yes,3,Individual,2,9,Digital Marketer
47,Female,Bachelor's,Science,10,10,Yes,2,8,7,2,9,8,Social Work,Remote,Corporate,Yes,8,2,Yes,10,7,No,7,Balanced,5,6,Mechanical Engineer
22,Male,High School,Engineering,3,10,Yes,5,2,9,8,6,1,Sports,Remote,Corporate,No,9,0,No,4,1,No,10,Balanced,1,7,Research Scientist
42,Other,Bachelor's,Science,1,7,No,2,8,4,3,9,2,Science,Hybrid,Research Lab,Yes,2,1,Yes,16,10,No,6,Individual,1,7,Business Analyst
33,Female,PhD,Science,2,10,Yes,7,10,3,7,6,6,Business,Hybrid,Government,No,6,1,No,2,2,Yes,9,Teamwork,1,5,Doctor
18,Other,PhD,Medicine,8,10,Yes,7,4,10,6,3,5,Sports,Remote,Startup,Yes,8,4,Yes,2,6,Yes,3,Individual,7,5,Digital Marketer
38,Female,PhD,Sports,10,5,No,3,9,4,8,3,1,Arts,Remote,Freelance,No,3,3,Yes,1,7,No,10,Individual,10,6,Software Engineer
31,Female,PhD,Business,6,9,Yes,3,4,5,3,1,4,Sports,Hybrid,Freelance,No,8,2,No,10,9,No,5,Individual,10,8,Doctor
32,Other,High School,Medicine,1,6,Yes,8,1,9,1,10,8,Social Work,On-Site,Government,Yes,8,3,Yes,9,3,No,1,Individual,5,4,Software Engineer
26,Other,Bachelor's,Engineering,9,7,No,7,8,1,6,8,9,Social Work,Hybrid,Startup,Yes,3,4,Yes,17,4,No,8,Teamwork,8,10,Research Scientist
32,Female,PhD,Medicine,7,4,Yes,4,1,9,6,7,1,Engineering,Hybrid,Startup,Yes,4,3,Yes,9,10,No,10,Teamwork,10,6,Doctor
