Age,Gender,Education_Level,Current_Field,Mathematical_Skills,Communication_Skills,Coding_Knowledge,Creativity_Level,Analytical_Thinking,Leadership_Skills,Problem_Solving_Skills,Research_Writing_Skills,Technical_Experience,Interest_Area,Work_Preference,Work_Environment,Self_Employment_Interest,Entrepreneurial_Mindset,Freelance_Experience,Job_Experience_Years,Certifications_Completed,Extracurricular_Activities,Risk_Taking_Ability,Teamwork_Individual_Pref,Stress_Handling_Ability,Adaptability_to_New_Tech,Best_Suited_Profession
30,Female,PhD,Engineering,Medium,Low,No,Low,High,Medium,Medium,Low,High,Technology,Remote,Startup,Yes,Low,No,11,0,No,Low,Balanced,Low,High,Business Analyst
47,Male,Master’s,Medicine,High,High,No,High,Low,High,Low,High,Low,Social Work,Remote,Freelance,Yes,Low,No,9,10,Yes,High,Teamwork,Low,Medium,Entrepreneur
40,Other,PhD,Sports,High,Low,Yes,High,Medium,Medium,Low,Low,Medium,Medicine,Hybrid,Government,Yes,Low,Yes,2,2,No,High,Balanced,Low,Medium,Research Scientist
36,Female,High School,Business,Low,Medium,Yes,Medium,Low,Medium,Low,Medium,High,Business,On-Site,Corporate,No,Medium,Yes,1,9,No,Medium,Individual,Medium,High,Research Scientist
44,Female,Diploma,Science,High,Medium,Yes,Medium,Medium,Low,Low,Low,Medium,Arts,Hybrid,Freelance,No,Low,No,12,4,No,High,Teamwork,High,Low,Research Scientist
41,Female,PhD,Science,High,High,Yes,Medium,Low,High,Low,Low,High,Sports,Hybrid,Startup,No,High,Yes,7,3,Yes,Medium,Teamwork,Medium,Medium,Data Scientist
36,Other,High School,Engineering,Low,Low,Yes,Low,Medium,High,Low,Medium,Low,Technology,On-Site,Government,Yes,Low,Yes,12,0,Yes,High,Balanced,High,Low,Research Scientist
47,Female,High School,Arts,Low,Medium,Yes,Low,Medium,Low,High,Low,High,Technology,Remote,Startup,No,Medium,No,12,0,Yes,High,Teamwork,High,Medium,Digital Marketer
49,Male,Bachelor's,Sports,Low,High,Yes,High,Low,Medium,Medium,Medium,Medium,Business,Remote,Startup,No,Low,Yes,12,7,Yes,Medium,Teamwork,Medium,High,Mechanical Engineer
47,Other,Bachelor's,Engineering,Low,Medium,Yes,Low,Medium,Low,High,Low,Medium,Social Work,Hybrid,Freelance,Yes,Low,No,3,5,Yes,Medium,Individual,Medium,High,Entrepreneur
46,Other,Diploma,Arts,High,High,Yes,High,Medium,High,Low,Medium,Low,Sports,Remote,Startup,No,Medium,Yes,11,10,Yes,Low,Teamwork,High,Medium,Software Engineer
34,Other,Bachelor's,Engineering,Medium,Medium,Yes,Medium,Medium,Medium,Medium,High,High,Sports,Remote,Freelance,No,Medium,Yes,12,9,No,Low,Individual,Medium,Medium,Mechanical Engineer
30,Other,Diploma,Science,High,Low,No,Medium,Medium,Medium,High,High,Low,Science,Hybrid,Startup,No,Medium,No,12,9,Yes,Low,Individual,Low,High,Digital Marketer
46,Other,Master’s,Business,Medium,Medium,No,High,High,High,High,Low,Medium,Sports,On-Site,Research Lab,Yes,Medium,Yes,11,0,Yes,Medium,Individual,High,Medium,Data Scientist
47,Male,Master’s,Medicine,Low,High,No,Medium,Low,Low,Low,Medium,High,Business,Remote,Government,No,High,No,12,9,No,Medium,Balanced,Medium,Medium,Doctor
33,Other,Bachelor's,Business,Medium,High,Yes,High,Medium,Low,High,Low,Low,Science,Hybrid,Freelance,Yes,Medium,Yes,4,7,No,Medium,Individual,Low,Low,Software Engineer
25,Female,Master’s,Science,Medium,Medium,Yes,High,Low,High,High,Medium,Medium,Engineering,On-Site,Freelance,Yes,Low,Yes,7,8,Yes,Medium,Balanced,Medium,Medium,Data Scientist
36,Other,PhD,Medicine,Medium,Medium,No,Medium,Medium,Medium,Low,Medium,Medium,Sports,Remote,Government,Yes,High,Yes,10,9,Yes,High,Teamwork,Low,High,Lawyer
35,Other,PhD,Arts,Medium,Low,No,Low,High,Medium,Low,Medium,Low,Technology,Remote,Freelance,Yes,High,No,7,1,No,Low,Balanced,Low,Low,Artist
18,Other,PhD,Arts,Medium,High,No,Medium,Low,Low,High,Low,High,Science,On-Site,Government,Yes,Medium,No,0,4,No,High,Balanced,Medium,Medium,Business Analyst
31,Other,Master’s,Science,Low,Medium,Yes,Low,High,Medium,High,High,Medium,Business,Remote,Corporate,Yes,High,No,3,9,Yes,Medium,Teamwork,Medium,Low,Artist
36,Other,PhD,Medicine,Medium,Medium,Yes,Low,Low,High,Medium,Medium,Medium,Medicine,On-Site,Research Lab,No,Medium,Yes,12,7,No,Medium,Balanced,High,High,Artist
32,Male,Diploma,Business,High,Medium,No,Medium,High,Medium,Medium,Low,Low,Arts,On-Site,Freelance,Yes,Medium,Yes,12,0,No,Medium,Teamwork,Medium,Medium,Research Scientist
35,Male,High School,Science,Medium,Medium,Yes,Medium,Medium,Medium,Medium,Low,Low,Technology,On-Site,Corporate,Yes,Low,No,7,7,Yes,High,Teamwork,High,High,Doctor
19,Other,Bachelor's,Arts,Medium,Low,No,Medium,Low,Medium,High,Medium,Medium,Arts,Hybrid,Research Lab,Yes,Low,Yes,1,4,No,Medium,Balanced,High,High,Digital Marketer
39,Male,Diploma,Science,Medium,Low,No,Low,Low,Low,Low,Low,High,Sports,Hybrid,Startup,No,Medium,No,12,0,No,Medium,Teamwork,Medium,Low,Digital Marketer
45,Female,PhD,Business,High,Low,No,Medium,Medium,Medium,Low,Medium,Low,Business,Hybrid,Research Lab,Yes,Medium,No,12,7,Yes,High,Teamwork,Medium,High,Mechanical Engineer
34,Other,High School,Engineering,Low,High,Yes,Low,Medium,Low,Low,Low,Medium,Engineering,On-Site,Freelance,Yes,Medium,No,0,2,No,Low,Teamwork,Low,High,Software Engineer
35,Female,Bachelor's,Sports,Medium,High,No,Low,Medium,High,Medium,Medium,Low,Arts,Remote,Startup,Yes,High,Yes,12,9,No,Medium,Individual,Medium,Medium,Mechanical Engineer
47,Female,Diploma,Sports,Low,Low,Yes,Medium,High,Medium,Medium,Medium,Medium,Medicine,On-Site,Startup,No,Medium,No,12,7,Yes,Low,Balanced,Low,Low,Doctor
23,Other,Bachelor's,Sports,Medium,Medium,No,Medium,Low,High,Medium,Low,Low,Medicine,Hybrid,Corporate,Yes,Medium,Yes,5,7,Yes,High,Individual,Low,High,Entrepreneur
36,Female,Master’s,Engineering,Medium,High,No,Medium,High,Low,Low,High,Low,Medicine,On-Site,Government,Yes,High,Yes,12,5,No,Medium,Teamwork,Medium,Low,Mechanical Engineer
48,Female,PhD,Business,Medium,Medium,Yes,Low,High,Low,High,Medium,Low,Business,On-Site,Corporate,No,Medium,Yes,8,0,Yes,High,Teamwork,Low,Medium,Entrepreneur
21,Female,Diploma,Medicine,High,High,Yes,Medium,Low,Medium,High,Low,Low,Social Work,On-Site,Startup,No,Low,No,3,9,No,Medium,Balanced,Medium,Medium,Entrepreneur
18,Other,Diploma,Science,Medium,Medium,No,Medium,High,High,High,Medium,Medium,Sports,On-Site,Research Lab,No,High,No,0,7,No,Medium,Teamwork,High,Medium,Lawyer
25,Other,High School,Business,High,Medium,Yes,Low,Medium,Medium,High,Low,High,Sports,On-Site,Freelance,No,Low,Yes,3,2,Yes,High,Teamwork,Medium,Medium,Doctor
46,Female,High School,Engineering,Medium,Medium,No,Medium,High,High,Low,High,High,Medicine,On-Site,Corporate,No,High,Yes,5,7,No,High,Teamwork,Medium,High,Lawyer
40,Other,High School,Arts,Medium,Low,No,Medium,Low,High,Low,Medium,Low,Engineering,On-Site,Startup,No,High,No,2,9,No,Low,Balanced,Medium,Medium,Artist
24,Other,Bachelor's,Sports,Low,High,Yes,High,High,Medium,Medium,High,Medium,Technology,On-Site,Research Lab,No,High,No,6,7,Yes,Medium,Balanced,High,Medium,Lawyer
20,Female,PhD,Sports,Low,Medium,No,Medium,High,Medium,High,Medium,Low,Sports,Remote,Startup,Yes,High,No,2,10,Yes,Medium,Individual,Medium,Medium,Digital Marketer
49,Other,Bachelor's,Business,High,Medium,No,Medium,High,Low,Low,Low,Medium,Medicine,Hybrid,Corporate,No,Medium,Yes,12,3,No,Low,Balanced,Low,High,Doctor
27,Male,PhD,Sports,Medium,Low,No,High,Low,Medium,High,Medium,High,Business,Remote,Government,No,Medium,Yes,2,4,Yes,Medium,Teamwork,Medium,High,Business Analyst
27,Other,Diploma,Sports,Medium,Low,No,Medium,Low,High,Medium,Low,Low,Medicine,On-Site,Startup,Yes,Medium,No,9,2,No,High,Teamwork,High,Medium,Mechanical Engineer
36,Male,Bachelor's,Business,Medium,Low,No,Medium,High,High,High,Medium,High,Arts,Hybrid,Research Lab,Yes,High,Yes,12,5,Yes,High,Teamwork,Medium,Medium,Digital Marketer
31,Female,Bachelor's,Business,High,Low,No,Medium,High,Medium,Medium,High,High,Medicine,Hybrid,Startup,No,High,No,0,10,No,Medium,Balanced,Medium,High,Lawyer
19,Other,Bachelor's,Engineering,Medium,Low,No,Low,Low,Low,Medium,Medium,Low,Business,Remote,Corporate,No,Low,No,1,2,Yes,Medium,Teamwork,High,Medium,Business Analyst
45,Female,Master’s,Engineering,High,Medium,Yes,High,Medium,Medium,High,Medium,Low,Arts,Hybrid,Freelance,No,Medium,Yes,12,6,No,Medium,Individual,High,High,Business Analyst
18,Female,PhD,Sports,Medium,High,Yes,Low,Low,High,Low,Low,Medium,Science,On-Site,Freelance,Yes,Medium,Yes,0,0,No,Medium,Individual,High,Medium,Doctor
40,Female,PhD,Business,Low,Low,No,Medium,High,High,High,Low,Medium,Social Work,Hybrid,Startup,No,Medium,No,12,5,Yes,Medium,Teamwork,Medium,Low,Software Engineer
40,Female,Bachelor's,Business,Low,Low,No,Low,Low,High,High,Medium,Medium,Technology,Remote,Freelance,No,Low,No,12,7,Yes,Medium,Balanced,Medium,High,Lawyer
45,Female,Master’s,Sports,High,High,Yes,High,High,Low,Low,High,Medium,Social Work,Remote,Freelance,Yes,High,Yes,12,4,No,High,Teamwork,Medium,Medium,Lawyer
49,Other,Bachelor's,Medicine,Medium,Low,No,Low,High,Medium,Low,Medium,Medium,Medicine,Remote,Freelance,Yes,Medium,Yes,12,2,Yes,Medium,Individual,Low,Medium,Digital Marketer
35,Male,PhD,Arts,Low,Low,Yes,Medium,High,Low,Medium,High,Medium,Sports,Remote,Corporate,No,Medium,No,12,8,No,Low,Balanced,Low,High,Lawyer
24,Other,Diploma,Science,Low,Medium,Yes,Low,Medium,Medium,Low,Medium,Medium,Sports,On-Site,Government,No,High,No,6,4,No,Medium,Individual,High,Medium,Digital Marketer
46,Other,Master’s,Science,Low,Low,Yes,Medium,Medium,Low,High,High,Medium,Business,Remote,Corporate,No,High,Yes,4,4,Yes,High,Teamwork,Medium,Low,Software Engineer
25,Other,Master’s,Sports,Medium,High,No,Medium,Medium,High,Low,High,Low,Technology,On-Site,Corporate,Yes,Low,Yes,7,3,Yes,High,Balanced,High,High,Doctor
18,Other,Bachelor's,Science,Medium,Low,No,High,Low,High,Low,Medium,High,Engineering,Hybrid,Government,No,High,No,0,2,No,High,Teamwork,High,Medium,Research Scientist
42,Male,Diploma,Engineering,Low,Medium,Yes,Low,Medium,Medium,Low,High,High,Sports,Remote,Research Lab,No,High,No,5,4,No,Low,Teamwork,High,Low,Software Engineer
40,Other,PhD,Engineering,Low,High,Yes,High,Medium,High,Medium,Medium,Medium,Sports,Hybrid,Research Lab,No,Medium,Yes,12,10,No,Medium,Balanced,Medium,Medium,Artist
20,Female,High School,Medicine,Medium,High,No,Low,High,Medium,High,Low,High,Arts,On-Site,Government,No,Medium,No,2,4,No,Low,Balanced,Low,High,Artist
41,Other,PhD,Sports,Low,High,No,Medium,Low,Medium,High,Low,Medium,Business,Remote,Corporate,No,Low,No,12,9,No,High,Teamwork,Low,Medium,Mechanical Engineer
40,Other,PhD,Engineering,Medium,High,Yes,Low,Low,Low,Low,Low,Low,Medicine,Remote,Government,Yes,High,Yes,12,5,No,Low,Individual,Medium,Low,Digital Marketer
44,Male,Diploma,Sports,Low,Medium,Yes,Medium,Medium,High,Low,High,Medium,Social Work,Remote,Research Lab,No,High,No,5,1,No,Medium,Individual,High,Low,Artist
48,Male,Master’s,Sports,Medium,Low,Yes,Medium,Low,Medium,Medium,Medium,High,Social Work,On-Site,Government,No,High,No,2,1,No,High,Individual,High,Low,Research Scientist
46,Female,PhD,Business,Medium,Low,No,High,High,High,Medium,Medium,Medium,Medicine,Remote,Government,No,High,No,12,1,No,Medium,Teamwork,Medium,Low,Entrepreneur
25,Other,Master’s,Arts,Medium,High,No,Medium,Medium,Medium,Medium,Medium,High,Science,Remote,Research Lab,Yes,Low,No,0,10,Yes,Low,Balanced,Low,High,Artist
39,Other,Diploma,Arts,High,Medium,Yes,High,Medium,High,Medium,Medium,Low,Engineering,Remote,Freelance,Yes,Low,Yes,10,1,No,Medium,Teamwork,High,High,Software Engineer
42,Other,Diploma,Sports,Low,Medium,No,Low,Medium,High,High,Low,High,Engineering,Hybrid,Government,Yes,Medium,No,12,2,Yes,Medium,Individual,Medium,Medium,Research Scientist
32,Female,Bachelor's,Arts,High,High,No,High,Low,Low,Low,High,Low,Engineering,On-Site,Startup,No,Medium,Yes,2,2,Yes,Low,Balanced,High,High,Doctor
22,Male,High School,Arts,High,Low,Yes,Medium,High,Low,Medium,High,High,Technology,Remote,Research Lab,No,Medium,Yes,4,2,No,High,Teamwork,High,Medium,Artist
20,Female,Diploma,Science,Low,High,No,Medium,Low,Low,Medium,Medium,Low,Medicine,On-Site,Research Lab,Yes,Medium,No,2,0,No,High,Teamwork,Low,Low,Digital Marketer
36,Other,Diploma,Science,Medium,Medium,No,Low,Medium,High,Medium,Medium,Medium,Engineering,On-Site,Startup,No,High,No,10,3,Yes,High,Individual,Low,Medium,Digital Marketer
18,Male,Master’s,Business,High,Medium,Yes,Medium,Medium,High,High,Low,High,Arts,Remote,Research Lab,No,High,No,0,2,No,Low,Teamwork,Medium,Medium,Mechanical Engineer
45,Male,Diploma,Medicine,Medium,Medium,Yes,Low,Low,Medium,Medium,High,Medium,Arts,Remote,Corporate,No,Low,No,8,0,No,High,Individual,High,Low,Data Scientist
32,Female,PhD,Engineering,Medium,High,No,Medium,High,Medium,High,Low,Medium,Sports,Remote,Research Lab,Yes,Medium,No,6,8,Yes,Medium,Balanced,Medium,High,Entrepreneur
25,Male,Bachelor's,Engineering,Medium,Medium,No,Medium,Medium,Medium,High,High,Low,Engineering,Hybrid,Startup,Yes,Low,Yes,3,2,No,Low,Teamwork,Medium,Medium,Doctor
19,Male,Bachelor's,Science,Low,High,Yes,Medium,High,Low,Medium,Low,Low,Arts,On-Site,Research Lab,No,Medium,Yes,1,0,No,Medium,Individual,Low,Medium,Data Scientist
20,Other,PhD,Sports,High,Low,No,Low,Low,Low,Medium,Medium,Low,Social Work,On-Site,Freelance,No,Low,Yes,2,10,No,Low,Teamwork,Low,Low,Doctor
49,Other,Diploma,Arts,High,High,Yes,High,Low,High,High,High,Low,Arts,Remote,Research Lab,No,Medium,Yes,12,10,No,Medium,Teamwork,Low,Low,Research Scientist
41,Male,High School,Business,High,Low,Yes,Medium,Low,High,High,Medium,Low,Technology,Hybrid,Corporate,Yes,High,No,12,10,No,Medium,Balanced,Medium,High,Data Scientist
31,Male,Diploma,Medicine,Low,Medium,Yes,Low,Low,Medium,Low,Medium,Medium,Social Work,Hybrid,Corporate,No,Medium,Yes,12,6,No,Medium,Balanced,Medium,High,Business Analyst
49,Female,Bachelor's,Science,Low,Low,No,Medium,Medium,Low,High,Low,High,Social Work,Remote,Research Lab,No,Medium,Yes,12,9,Yes,Medium,Balanced,Medium,High,Doctor
41,Female,High School,Sports,High,Medium,Yes,Medium,High,Medium,High,Medium,Medium,Science,Hybrid,Government,No,Medium,No,3,5,Yes,Medium,Teamwork,Medium,Low,Business Analyst
31,Male,Master’s,Business,Medium,Low,No,High,Low,Low,High,High,High,Science,Hybrid,Freelance,No,High,Yes,9,4,Yes,High,Individual,High,High,Digital Marketer
28,Other,Master’s,Sports,Medium,Low,Yes,High,Low,Medium,Medium,High,High,Business,Remote,Research Lab,No,High,No,9,9,No,High,Individual,Low,Medium,Mechanical Engineer
33,Male,Diploma,Business,High,Low,Yes,Medium,High,High,Low,Medium,Low,Engineering,Hybrid,Freelance,Yes,High,Yes,12,6,Yes,Medium,Individual,High,Low,Doctor
21,Male,Diploma,Science,Low,Medium,No,High,High,Medium,Low,High,High,Technology,On-Site,Corporate,No,High,Yes,3,6,No,High,Balanced,High,Low,Lawyer
37,Other,High School,Business,Low,Medium,Yes,Low,Medium,Medium,Low,Medium,Medium,Business,On-Site,Government,No,High,Yes,12,6,No,Low,Balanced,Low,Low,Doctor
22,Other,High School,Arts,Medium,High,Yes,Medium,High,Low,Low,Low,Medium,Medicine,On-Site,Research Lab,Yes,Medium,Yes,4,0,No,Medium,Balanced,High,High,Software Engineer
39,Female,Diploma,Business,High,Low,No,Low,High,Low,High,High,Low,Business,Hybrid,Freelance,Yes,Low,Yes,5,6,No,High,Balanced,High,Medium,Doctor
38,Female,Bachelor's,Medicine,Low,High,No,High,High,High,Medium,Medium,High,Arts,Remote,Startup,Yes,Medium,Yes,10,1,Yes,High,Teamwork,Low,Medium,Data Scientist
31,Female,Master’s,Business,High,High,Yes,High,High,Medium,Medium,Medium,Medium,Engineering,Remote,Research Lab,No,High,No,12,1,No,High,Balanced,Medium,Medium,Artist
48,Female,High School,Engineering,Medium,Low,Yes,Medium,Medium,Low,High,Low,Low,Sports,On-Site,Startup,No,Low,No,3,9,Yes,High,Teamwork,Medium,High,Artist
40,Other,Bachelor's,Business,Medium,Medium,No,Medium,High,Low,High,High,Medium,Science,Hybrid,Corporate,No,High,No,1,2,No,Low,Balanced,Medium,Low,Software Engineer
33,Male,Diploma,Sports,Low,Medium,Yes,High,Medium,High,Low,Medium,Medium,Sports,Hybrid,Government,Yes,High,No,2,5,Yes,Medium,Teamwork,Low,Medium,Mechanical Engineer
35,Female,PhD,Science,Medium,High,Yes,Medium,Medium,Medium,High,High,High,Science,On-Site,Government,Yes,Medium,Yes,12,3,Yes,Medium,Individual,Medium,High,Data Scientist
24,Female,High School,Engineering,Medium,Medium,Yes,High,Low,Medium,Low,Low,High,Social Work,Remote,Research Lab,Yes,High,Yes,6,3,Yes,Medium,Balanced,High,Low,Digital Marketer
27,Other,PhD,Science,High,High,No,Medium,Low,Low,Medium,High,Medium,Sports,Hybrid,Government,Yes,High,No,9,2,No,Medium,Balanced,Medium,Medium,Lawyer
24,Other,Bachelor's,Sports,Medium,Medium,No,High,Low,Low,Low,Low,High,Science,On-Site,Research Lab,Yes,High,Yes,4,8,Yes,High,Individual,Medium,Low,Software Engineer
18,Male,Master’s,Medicine,High,High,No,High,High,High,Medium,High,High,Technology,Remote,Freelance,No,High,Yes,0,9,Yes,Low,Individual,Low,Medium,Mechanical Engineer
40,Male,Bachelor's,Arts,Medium,High,No,Medium,Medium,High,Low,Medium,Low,Arts,Hybrid,Freelance,No,Medium,Yes,0,4,No,Medium,Teamwork,Medium,High,Lawyer
38,Other,Master’s,Medicine,Low,High,Yes,Medium,High,Medium,Low,Medium,Medium,Business,On-Site,Freelance,No,High,Yes,12,0,No,Low,Teamwork,Medium,High,Lawyer
36,Female,Bachelor's,Engineering,Low,Low,No,Medium,Medium,High,Medium,High,Low,Sports,Hybrid,Research Lab,Yes,Medium,No,10,5,Yes,Medium,Teamwork,Medium,High,Software Engineer
33,Female,High School,Sports,Medium,Medium,No,Medium,High,High,Low,High,High,Medicine,Hybrid,Startup,Yes,Medium,No,12,6,No,Medium,Balanced,Medium,High,Digital Marketer
46,Female,High School,Sports,High,Low,No,Medium,High,Medium,Low,Medium,Medium,Technology,Remote,Corporate,No,High,Yes,0,9,No,High,Teamwork,High,Low,Business Analyst
36,Male,PhD,Arts,High,Medium,No,High,Medium,Low,High,Medium,Medium,Sports,Remote,Startup,Yes,Medium,Yes,12,9,No,High,Balanced,Medium,Low,Mechanical Engineer
21,Female,Bachelor's,Business,Medium,Medium,Yes,Low,Low,Low,Medium,High,Medium,Medicine,Hybrid,Startup,No,Medium,Yes,3,4,Yes,Low,Individual,Medium,Low,Software Engineer
46,Female,Bachelor's,Engineering,Medium,Medium,No,High,High,Medium,Low,Low,High,Technology,Remote,Government,No,Medium,No,12,3,Yes,Medium,Balanced,Low,High,Research Scientist
45,Other,PhD,Arts,Low,Medium,No,Medium,Low,Medium,Medium,High,High,Arts,On-Site,Startup,Yes,High,Yes,12,5,Yes,Medium,Individual,Medium,Low,Software Engineer
35,Female,Diploma,Science,Medium,Medium,Yes,Low,Low,Medium,Low,Medium,Low,Technology,Remote,Research Lab,No,Medium,No,7,4,Yes,High,Individual,Medium,High,Data Scientist
19,Other,Bachelor's,Arts,Low,Low,Yes,Medium,High,High,Medium,High,Medium,Social Work,On-Site,Government,No,High,Yes,0,7,Yes,Low,Individual,Medium,Low,Entrepreneur
18,Female,Bachelor's,Science,Low,Low,No,High,High,Medium,High,Medium,High,Medicine,On-Site,Government,No,High,No,0,9,No,Medium,Teamwork,Medium,High,Digital Marketer
32,Male,Bachelor's,Science,Low,Low,No,Low,High,Low,High,High,Medium,Technology,Hybrid,Startup,No,High,No,10,1,Yes,High,Teamwork,Medium,High,Lawyer
22,Female,Diploma,Sports,Low,High,No,High,Medium,Medium,Medium,Low,Medium,Social Work,Remote,Research Lab,Yes,High,Yes,4,7,No,Medium,Teamwork,High,High,Research Scientist
37,Female,High School,Arts,Low,High,Yes,Medium,Low,Low,Low,High,Low,Arts,Remote,Government,Yes,Medium,Yes,4,2,Yes,Low,Balanced,Low,High,Business Analyst
28,Other,PhD,Sports,High,Medium,No,Medium,High,Medium,High,High,Medium,Science,On-Site,Freelance,Yes,Medium,Yes,10,8,No,Medium,Teamwork,Low,High,Entrepreneur
27,Other,Diploma,Sports,Low,Low,Yes,High,Medium,Low,Medium,Medium,High,Technology,Remote,Government,Yes,Medium,No,0,2,Yes,High,Balanced,High,High,Artist
48,Other,Master’s,Medicine,Medium,High,Yes,Medium,Low,Low,Low,Medium,Low,Medicine,On-Site,Corporate,No,Medium,Yes,12,0,No,Low,Individual,Low,Medium,Software Engineer
19,Female,Master’s,Medicine,Medium,High,Yes,High,High,Low,Medium,High,Medium,Engineering,Hybrid,Startup,Yes,High,No,1,9,Yes,Medium,Teamwork,Low,Medium,Mechanical Engineer
20,Female,Diploma,Sports,Low,High,Yes,Low,Medium,High,High,High,Medium,Medicine,Remote,Freelance,Yes,Medium,No,2,1,Yes,Low,Teamwork,Medium,High,Artist
40,Male,Diploma,Sports,Low,Medium,No,Low,Low,Medium,Low,Low,High,Technology,Hybrid,Startup,Yes,Medium,No,0,5,No,High,Teamwork,High,Medium,Business Analyst
40,Female,High School,Science,Low,Medium,Yes,Medium,High,Low,Medium,High,High,Sports,Hybrid,Corporate,No,Medium,Yes,11,2,Yes,High,Individual,Low,High,Business Analyst
29,Male,Master’s,Sports,High,Medium,No,High,Low,Medium,Medium,Low,Medium,Sports,On-Site,Startup,No,Low,Yes,11,0,No,Medium,Individual,Medium,High,Software Engineer
37,Other,PhD,Engineering,Medium,High,Yes,Low,Medium,Medium,High,High,Low,Social Work,Remote,Freelance,Yes,Low,Yes,2,6,No,Low,Teamwork,High,Medium,Digital Marketer
22,Other,Bachelor's,Arts,Medium,High,No,Medium,High,Medium,Low,Low,Low,Arts,Remote,Corporate,No,High,No,4,10,Yes,Medium,Teamwork,Medium,Low,Artist
22,Other,Bachelor's,Engineering,Medium,High,No,Low,Medium,Medium,Low,Low,Low,Business,Remote,Freelance,No,Low,Yes,4,5,No,Low,Teamwork,Medium,High,Data Scientist
23,Male,High School,Medicine,High,Medium,No,Medium,Medium,High,Medium,Medium,Medium,Science,On-Site,Corporate,No,Medium,Yes,5,9,Yes,High,Individual,Low,High,Mechanical Engineer
49,Female,High School,Engineering,Low,High,Yes,Low,Low,High,Medium,High,Medium,Arts,Hybrid,Corporate,No,Low,Yes,7,3,Yes,Low,Balanced,Low,High,Data Scientist
47,Other,Master’s,Business,Medium,High,Yes,Medium,Low,High,High,Low,Medium,Business,On-Site,Government,No,Medium,Yes,10,5,No,Medium,Teamwork,High,High,Lawyer
26,Female,PhD,Business,Medium,Low,No,Low,Medium,Medium,High,Low,Low,Medicine,Hybrid,Freelance,Yes,Low,Yes,8,8,Yes,Low,Teamwork,Medium,Medium,Doctor
19,Female,PhD,Medicine,Medium,Medium,Yes,Medium,Low,High,Medium,High,Medium,Sports,On-Site,Corporate,Yes,Low,No,0,9,Yes,Medium,Individual,Low,High,Business Analyst
38,Other,Diploma,Engineering,High,High,No,High,Low,High,Medium,Medium,High,Technology,Remote,Corporate,Yes,High,Yes,10,4,Yes,Low,Balanced,Medium,Low,Software Engineer
29,Male,High School,Arts,High,Medium,Yes,High,Medium,High,Medium,Medium,Low,Medicine,On-Site,Research Lab,Yes,Medium,No,3,4,No,High,Teamwork,Low,High,Doctor
20,Female,Bachelor's,Medicine,High,Medium,Yes,Medium,Medium,High,Medium,Low,High,Technology,On-Site,Freelance,Yes,Low,No,2,2,No,Medium,Balanced,High,High,Mechanical Engineer
37,Other,Bachelor's,Business,Medium,Medium,Yes,Medium,Low,Medium,Medium,Medium,Medium,Engineering,Hybrid,Research Lab,Yes,Low,Yes,12,10,No,Medium,Teamwork,High,Low,Data Scientist
43,Female,Master’s,Medicine,Low,High,No,Medium,High,High,High,Low,Low,Science,On-Site,Corporate,Yes,Medium,No,6,2,Yes,High,Balanced,High,High,Doctor
39,Female,Bachelor's,Engineering,Medium,Medium,No,Low,High,High,Medium,High,Medium,Technology,On-Site,Research Lab,Yes,High,Yes,10,2,No,Medium,Individual,Low,Medium,Digital Marketer
29,Female,PhD,Engineering,Medium,Medium,Yes,Medium,Medium,Medium,High,High,Medium,Medicine,Remote,Startup,Yes,Medium,No,11,6,No,Low,Individual,Medium,Low,Software Engineer
41,Female,PhD,Engineering,High,High,No,Low,High,High,Medium,Medium,High,Engineering,Remote,Freelance,Yes,High,No,5,3,No,Low,Teamwork,High,Low,Artist
34,Female,High School,Science,Low,Medium,Yes,Medium,Medium,High,High,High,Medium,Business,Hybrid,Freelance,Yes,Medium,Yes,7,7,No,Medium,Teamwork,Medium,High,Artist
27,Male,Master’s,Engineering,Medium,High,No,Medium,Medium,Medium,Medium,Medium,High,Sports,Hybrid,Startup,Yes,Low,Yes,9,7,Yes,Medium,Balanced,High,Medium,Lawyer
47,Male,Bachelor's,Sports,High,Low,No,High,Medium,High,High,Medium,Low,Business,On-Site,Startup,Yes,Low,No,12,0,No,Low,Teamwork,High,High,Doctor
41,Other,High School,Business,High,Low,No,Low,Medium,High,High,High,Medium,Business,Remote,Research Lab,Yes,Low,Yes,6,2,Yes,High,Teamwork,Medium,Low,Digital Marketer
44,Male,Diploma,Business,High,Medium,Yes,Medium,Low,Low,Low,Medium,Low,Social Work,On-Site,Startup,Yes,High,No,12,10,No,High,Teamwork,Medium,Low,Entrepreneur
31,Male,Diploma,Science,Medium,Low,No,Low,Low,Low,Low,Low,Medium,Technology,Remote,Corporate,Yes,High,No,0,9,Yes,Medium,Teamwork,Medium,High,Doctor
40,Male,Bachelor's,Business,High,Medium,Yes,Low,High,Medium,Medium,High,Medium,Arts,Hybrid,Startup,Yes,Medium,No,12,4,No,Low,Teamwork,Medium,Low,Data Scientist
49,Female,Bachelor's,Business,High,Medium,Yes,Medium,Low,Medium,Low,Low,Low,Sports,Hybrid,Research Lab,No,High,Yes,12,1,No,Low,Individual,High,High,Data Scientist
49,Female,Bachelor's,Medicine,Medium,Low,Yes,Medium,High,Medium,Medium,High,Medium,Social Work,Remote,Government,Yes,Low,No,12,9,No,Medium,Balanced,Low,Medium,Data Scientist
